   "ASP"           "ALA"           "GLU"              "DIS"
    5.46	    6.37	    2.30              "DIS1_AVH"
    3.56	    5.55	    3.00              "DIS1_AVH"
    4.08	    5.50	    2.77              "DIS1_AVH"
    4.52	    4.79	    1.79              "DIS1_AVH"
    4.60	    5.86	    2.56              "DIS1_AVH"
    4.47	    5.94	    1.95              "DIS1_AVH"
    5.31	    6.06	    2.71              "DIS1_AVH"
    5.34	    6.29	    2.64              "DIS1_AVH"
    4.65	    6.14	    1.39              "DIS1_AVH"
    4.55	    6.09	    2.56              "DIS1_AVH"
    5.37	    6.35	    2.83              "DIS1_AVH"
    4.62	    5.62	    1.79              "DIS1_AVH"
    6.12	    6.46	    3.30              "DIS1_AVH"
    5.73	    7.13	    2.20              "DIS1_AVH"
    4.41	    5.68	    2.40              "DIS1_AVH"
    5.28	    6.63	    2.89              "DIS1_AVH"
    4.95	    6.31	    3.18              "DIS1_AVH"
    4.29	    5.30	    1.10              "DIS1_AVH"
    6.34	    7.21	    3.18              "DIS1_AVH"
    4.83	    5.97	    2.30              "DIS1_AVH"
    4.34	    6.17	    2.20              "DIS1_AVH"
    4.36	    6.20	    2.48              "DIS1_AVH"
    5.11	    5.80	    3.04              "DIS1_AVH"
    5.37	    6.52	    2.30              "DIS1_AVH"
    4.95	    6.29	    3.04              "DIS1_AVH"
    5.39	    6.90	    2.89              "DIS1_AVH"
    4.84	    6.17	    2.89              "DIS1_AVH"
    5.78	    6.84	    0.69              "DIS1_AVH"
    5.00	    5.81	    2.56              "DIS1_AVH"
    5.60	    6.14	    2.30              "DIS1_AVH"
    5.18	    6.49	    2.48              "DIS1_AVH"
    5.31	    6.54	    2.94              "DIS1_AVH"
    4.03	    5.06	    1.79              "DIS1_AVH"
    4.86	    6.56	    2.64              "DIS1_AVH"
    6.53	    7.37	    3.00              "DIS1_AVH"
    5.67	    6.89	    3.00              "DIS1_AVH"
    4.11	    5.79	    2.64              "DIS1_AVH"
    5.67	    6.54	    2.20              "DIS1_AVH"
    4.89	    6.15	    2.40              "DIS1_AVH"
    5.14	    6.43	    2.56              "DIS1_AVH"
    6.31	    6.94	    2.89              "DIS1_AVH"
    5.75	    6.03	    2.56              "DIS1_AVH"
    5.11	    5.48	    2.30              "DIS1_AVH"
    5.83	    6.73	    2.48              "DIS1_AVH"
    6.49	    7.16	    3.04              "DIS1_AVH"
    5.77	    7.13	    2.89              "DIS1_AVH"
    5.99	    6.20	    3.09              "DIS1_AVH"
    6.53	    6.88	    2.64              "DIS1_AVH"
    5.49	    6.27	    2.77              "DIS1_AVH"
    5.83	    6.44	    2.40              "DIS1_AVH"
    5.92	    6.81	    2.94              "DIS1_AVH"
    5.11	    6.37	    2.20              "DIS1_AVH"
    5.95	    6.41	    2.56              "DIS1_AVH"
    5.02	    5.60	    1.95              "DIS1_AVH"
    6.41	    7.09	    2.77              "DIS1_AVH"
    5.51	    6.11	    3.14              "DIS1_AVH"
    4.81	    5.44	    2.40              "DIS1_AVH"
    6.16	    6.23	    2.56              "DIS2_PCH"
    3.69	    3.95	    1.61              "DIS2_PCH"
    3.97	    4.81	    1.95              "DIS2_PCH"
    4.33	    4.89	    2.08              "DIS2_PCH"
    3.43	    4.14	    1.39              "DIS2_PCH"
    3.47	    4.03	    1.79              "DIS2_PCH"
    3.91	    4.08	    2.20              "DIS2_PCH"
    4.03	    4.28	    1.95              "DIS2_PCH"
    3.66	    4.47	    2.20              "DIS2_PCH"
    3.83	    4.55	    2.08              "DIS2_PCH"
    3.37	    4.04	    1.61              "DIS2_PCH"
    3.69	    3.91	    1.10              "DIS2_PCH"
    3.37	    3.78	    1.39              "DIS2_PCH"
    4.34	    4.88	    1.95              "DIS2_PCH"
    3.33	    3.78	    1.39              "DIS2_PCH"
    3.33	    4.22	    1.61              "DIS2_PCH"
    3.53	    4.06	    1.79              "DIS2_PCH"
    3.18	    3.74	    1.10              "DIS2_PCH"
    3.53	    4.11	    1.95              "DIS2_PCH"
    4.78	    5.84	    3.14              "DIS2_PCH"
    3.26	    3.71	    1.61              "DIS2_PCH"
    3.66	    4.43	    1.61              "DIS2_PCH"
    3.40	    4.25	    1.95              "DIS2_PCH"
    3.56	    4.39	    2.08              "DIS2_PCH"
    3.37	    3.71	    1.95              "DIS2_PCH"
    3.43	    3.64	    1.61              "DIS2_PCH"
    3.43	    4.03	    1.79              "DIS2_PCH"
    3.14	    3.76	    1.95              "DIS2_PCH"
    3.64	    3.69	    1.79              "DIS2_PCH"
    3.09	    3.74	    1.39              "DIS2_PCH"
    3.26	    4.04	    1.95              "DIS2_PCH"
    3.26	    3.74	    2.83              "DIS2_PCH"
    3.56	    4.28	    1.10              "DIS2_PCH"
    3.74	    3.97	    1.95              "DIS2_PCH"
    3.71	    3.85	    2.77              "DIS2_PCH"
    4.16	    5.56	    1.61              "DIS2_PCH"
    5.36	    6.49	    2.64              "DIS2_PCH"
    4.42	    4.62	    1.61              "DIS2_PCH"
    4.16	    5.22	    2.30              "DIS2_PCH"
    4.80	    5.07	    2.20              "DIS2_PCH"
    3.37	    3.74	    1.39              "DIS2_PCH"
    4.86	    5.09	    2.20              "DIS2_PCH"
    4.33	    4.69	    2.30              "DIS2_PCH"
    3.00	    4.04	    1.95              "DIS2_PCH"
    4.91	    4.77	    3.91              "DIS3_ACH"
    4.32	    4.83	    2.94              "DIS3_ACH"
    4.79	    5.09	    2.77              "DIS3_ACH"
    4.60	    5.41	    3.04              "DIS3_ACH"
    4.72	    4.53	    3.95              "DIS3_ACH"
    4.26	    4.11	    1.79              "DIS3_ACH"
    4.97	    3.74	    1.79              "DIS3_ACH"
    3.95	    4.45	    2.94              "DIS3_ACH"
    3.83	    3.69	    2.20              "DIS3_ACH"
    3.89	    3.93	    2.56              "DIS3_ACH"
    5.58	    5.76	    3.14              "DIS3_ACH"
    3.95	    3.40	    2.94              "DIS3_ACH"
    4.93	    4.88	    3.85              "DIS3_ACH"
    3.91	    4.49	    2.71              "DIS3_ACH"
    3.97	    3.43	    1.39              "DIS3_ACH"
    5.38	    4.98	    3.18              "DIS3_ACH"
    5.51	    4.74	    3.18              "DIS3_ACH"
    4.30	    4.74	    3.18              "DIS3_ACH"
    4.92	    4.54	    2.89              "DIS3_ACH"
    4.25	    3.97	    2.08              "DIS3_ACH"
    4.38	    4.01	    2.08              "DIS3_ACH"
    4.74	    4.06	    2.56              "DIS3_ACH"
    4.78	    4.88	    2.20              "DIS3_ACH"
    5.40	    5.32	    2.71              "DIS3_ACH"
    6.49	    6.04	    3.33              "DIS3_ACH"
    5.07	    5.28	    3.14              "DIS3_ACH"
    4.45	    3.95	    2.89              "DIS3_ACH"
    4.63	    4.77	    2.83              "DIS3_ACH"
    4.51	    3.95	    3.30              "DIS3_ACH"
    4.70	    3.47	    2.89              "DIS3_ACH"
    5.26	    5.54	    3.22              "DIS3_ACH"
    6.29	    5.21	    5.08              "DIS3_ACH"
    6.19	    6.05	    3.71              "DIS3_ACH"
    7.74	    7.18	    3.76              "DIS3_ACH"
    6.75	    7.35	    3.37              "DIS3_ACH"
    4.47	    4.93	    3.53              "DIS3_ACH"
    5.21	    4.72	    3.33              "DIS3_ACH"
    4.61	    4.54	    3.95              "DIS3_ACH"
    7.35	    6.89	    3.43              "DIS3_ACH"
    5.62	    5.34	    3.66              "DIS3_ACH"
    5.15	    4.80	    3.53              "DIS4_PNC"
    3.74	    3.18	    1.39              "DIS4_PNC"
    3.78	    3.33	    2.71              "DIS4_PNC"
    4.42	    4.20	    1.10              "DIS4_PNC"
    4.45	    4.08	    2.40              "DIS4_PNC"
    3.74	    3.22	    1.10              "DIS4_PNC"
    3.81	    3.26	    1.10              "DIS4_PNC"
    4.33	    3.99	    2.56              "DIS4_PNC"
    6.56	    5.15	    4.32              "DIS4_PNC"
    4.51	    4.16	    2.20              "DIS4_PNC"
    4.66	    4.11	    2.48              "DIS4_PNC"
    4.84	    4.13	    2.77              "DIS4_PNC"
    4.62	    4.04	    1.95              "DIS4_PNC"
    4.26	    3.93	    1.79              "DIS4_PNC"
    4.53	    4.36	    3.04              "DIS4_PNC"
    4.33	    4.23	    2.30              "DIS4_PNC"
    4.70	    4.37	    2.08              "DIS4_PNC"
    4.41	    4.01	    1.79              "DIS4_PNC"
    4.04	    3.61	    1.61              "DIS4_PNC"
    4.28	    3.43	    1.95              "DIS4_PNC"
    4.13	    3.26	    2.40              "DIS4_PNC"
    4.96	    4.64	    2.08              "DIS4_PNC"
    4.38	    3.93	    1.79              "DIS4_PNC"
    5.33	    4.42	    1.61              "DIS4_PNC"
    4.43	    3.99	    1.79              "DIS4_PNC"
    4.88	    4.28	    2.40              "DIS4_PNC"
    4.38	    3.91	    2.30              "DIS4_PNC"
    4.77	    4.43	    2.64              "DIS4_PNC"
    3.74	    3.09	    1.39              "DIS4_PNC"
    3.85	    3.26	    1.95              "DIS4_PNC"
    4.68	    4.08	    3.18              "DIS4_PNC"
    4.25	    4.17	    2.20              "DIS4_PNC"
    3.71	    3.53	    1.95              "DIS4_PNC"
    3.97	    3.43	    1.79              "DIS4_PNC"
    4.67	    5.16	    3.00              "DIS4_PNC"
    4.94	    4.22	    2.71              "DIS4_PNC"
    4.80	    4.30	    2.20              "DIS4_PNC"
    4.14	    3.58	    3.91              "DIS4_PNC"
    4.38	    4.44	    2.48              "DIS4_PNC"
    5.78	    4.95	    3.43              "DIS4_PNC"
    3.76	    2.94	    1.61              "DIS4_PNC"
    3.85	    3.37	    2.08              "DIS4_PNC"
    4.91	    4.50	    3.83              "DIS4_PNC"
    5.23	    5.09	    2.71              "DIS4_PNC"
    4.96	    4.30	    2.40              "DIS4_PNC"
    3.87	    3.14	    1.79              "DIS4_PNC"
    4.78	    4.13	    2.89              "DIS4_PNC"
    4.03	    2.89	    2.30              "DIS4_PNC"
    3.97	    3.66	    2.56              "DIS4_PNC"
    4.80	    4.37	    1.95              "DIS4_PNC"
    3.99	    3.95	    3.22              "DIS4_PNC"
    4.60	    3.81	    2.40              "DIS4_PNC"
    4.74	    4.30	    2.64              "DIS4_PNC"
    4.11	    3.47	    1.95              "DIS4_PNC"
    4.26	    3.95	    2.20              "DIS4_PNC"
    3.99	    3.53	    1.61              "DIS4_PNC"
    3.76	    3.61	    2.48              "DIS4_PNC"
    3.95	    3.81	    1.95              "DIS4_PNC"
    4.51	    3.76	    1.39              "DIS4_PNC"
    3.76	    3.09	    1.95              "DIS4_PNC"
